place_id,name,rating,user_ratings_total,category,rating_rank
ChIJJQu1jxgXQjERMuxFpKhdm-0,"Galaxy Entertainment Center",4.6,104,"'Pool billard club'",11
ChIJU5taU9QZQjERnzcNO4DMScs,"ST Billiards Club",4.6,10,"'Pool billard club'",12
ChIJxxbEYrkZQjERy90LXs-8mfY,"Câu Lạc Bộ Billiards A HUYNH",4.5,60,"'Pool billard club'",13
ChIJh-vpyPEXQjER4LuUnU6DUvE,"One Up Billiards - Bida One Up",4.5,26,"'Pool billard club'",14
ChIJh-Cd4sQZQjERswnFaSX5KLg,"Billiards Huy Long",4.5,16,"'Pool billard club'",15
ChIJ33m8zCoZQjERuZDWKpsoi9s,"CLB BIDA 134 - 134 Billiards Club",4.4,86,"'Pool billard club'",16
ChIJrc1GJjQYQjERUSft8Zvb_yc,"Câu Lạc Bộ Bida 379",4.4,5,"'Pool billard club'",17
ChIJDatBVe0ZQjERTYtcZLKiiRk,"Bida Da Nang - BAVAN Billiards",4.4,40,"'Pool billard club'",18
ChIJX_D85jUYQjERTwCA4HYWyHs,"Bida Pro",4.4,13,"'Pool billard club'",19
ChIJodN0e2QXQjERAtNqHHMtsN0,"Roy Billiards",4.3,88,"'Pool billard club'",20
ChIJITgiaDEYQjERX_ybWxTg7qQ,"Bida Đà Nẵng - Sapphire Billiard Club",4.3,244,"'Pool billard club'",21
ChIJ4TO7YgAZQjERGII_FU00LKo,"Magic Arena Da Nang",4.2,164,"'Pool billard club'",22
ChIJd-ZvJjQYQjER_DBHDgIEZu4,"Billiards Club",4.1,42,"'Pool billard club'",23
ChIJTyrq8EcZQjER_sjn_LCyOXw,"CROWN Billiard & Coffee Center",4.0,24,"'Pool billard club'",24
ChIJL0DqDXwXQjERAlxO4_qXSC8,"Clb Bida 191",4.0,2,"'Pool billard club'",25
ChIJo0553qoZQjER3fMpGH3GEFU,"Clb Bida 555",4.0,1,"'Pool billard club'",26
ChIJtURdRAAZQjER87wDwAsU9FY,"HD Billiards Club Đà Nẵng",3.9,19,"'Pool billard club'",27
ChIJI988I_UXQjERqa-b3EMVFcc,"BiDa Tyler",3.8,36,"'Pool billard club'",28
ChIJKSycfpIZQjERtx7RsGPObFs,"Bida 238. 240 Xô Viết Nghệ Tĩnh",3.8,137,"'Pool billard club'",29
ChIJ_XGsHwAZQjERqLMcGZayJkY,"Space - X Billiards",3.8,11,"'Pool billard club'",30
ChIJKQKISioYQjER7xXZSlPXWCg,"Bida Thanh Niên",3.6,25,"'Pool billard club'",31
ChIJq6jS4xYZQjEREkYaV_pAfss,"MTV Billiards",3.5,95,"'Pool billard club'",32
ChIJ8aTuLO4ZQjERF5cZV90ZMrw,"Clb Bida 600",3.3,4,"'Pool billard club'",33
ChIJ9zP2xisYQjERPfjzao6vHjg,"Câu Lạc Bộ Bida Clup Kool",3.3,4,"'Pool billard club'",33
ChIJTb9kX4kZQjERH6b_UVRYJ58,"Clb Bida Nu",3.3,3,"'Pool billard club'",35
ChIJld1EaysYQjER6s9oAbKV3CE,"Clb Bida Hưng Phát",3.0,2,"'Pool billard club'",36
ChIJham0sjkYQjERKj5Di4I5MBA,"Câu Lạc Bộ Bida 149",3.0,2,"'Pool billard club'",36
ChIJ9yIOUPgZQjERYHFYYRfmnTg,"Minh Vương Billards Club",3.0,10,"'Pool billard club'",38
ChIJ_0-ds1IYQjERJyQaI1aVHv8,"Câu Lạc Bộ Bida Thời Đại",3.0,1,"'Pool billard club'",39
ChIJrcUQCskZQjER7fcsp_Y1msc,"Billiards New Faifo Club",2.6,19,"'Pool billard club'",40
ChIJef7GGNoZQjERWjcop20mbFI,"Bida 224",2.3,12,"'Pool billard club'",41
ChIJaeunILEZQjERH8uIS1h7WE0,"Clb Bida Thống Nhất",1.0,1,"'Pool billard club'",42
ChIJXVX9QbcZQjERANu4BB8U_9M,"Câu Lạc Bộ Bida Thời Đại",0.0,0,"'Pool billard club'",43
ChIJ_dLvTlIYQjERkZnR7qyI-TM,"Clb Bida Quý",0.0,0,"'Pool billard club'",43
ChIJQwRmgbcZQjERwR4YVPKJ02Y,"Clb Bida 117",0.0,0,"'Pool billard club'",43
ChIJzy547MMZQjEREb0UR-do7nQ,"Clb Bida 185",0.0,0,"'Pool billard club'",43
ChIJhb51M-4ZQjERSUlqTpM49Ck,"Clb Bida 567",0.0,0,"'Pool billard club'",43
ChIJx-Gg2jkYQjERBlB-zWZ9QCc,"Clb Bida Green",0.0,0,"'Pool billard club'",43
ChIJ0XHTJ0gYQjERm562BWlrUAA,"Câu lạc bộ bida Q7",0.0,0,"'Pool billard club'",43
ChIJh0_2yawZQjERMvrgIsihrOA,"Bida Thành Tâm",0.0,0,"'Pool billard club'",43
ChIJQ6-0VdAZQjERtGBiT2S9SB8,"Câu Lạc Bộ Billiards Bình Minh",0.0,0,"'Pool billard club'",43
ChIJ4bEiPQAXQjER1O3pQy6cer4,"92 Billiards Club",4.9,31,"'Pool billard club', 'Club'",1
ChIJpyHQi9UZQjER_6bb1R5JeDI,"MC Billiards Center",4.3,58,"'Pool billard club', 'Club'",2
ChIJ_Y7TClUYQjERYjQvosOWf3A,"Clb Bida 46",4.0,1,"'Pool billard club', 'Club'",3
ChIJu50ldVUYQjERvPJDoxqadEs,"ST Billiards Star",5.0,2,"'Pool billard club', 'Pool hall'",1
ChIJbXXJJGcZQjERYMPsgyNiWBI,"MEOW BILLIARDS CLUB ĐÀ NẴNG - CÂU LẠC BỘ BIDA BI-A LỖ",4.9,591,"'Pool billard club', 'Recreation center', 'Sports club'",1
ChIJbYhcKgAXQjERzJNRrqriXyY,"RAINBOW BILLIARDS CLUB",4.2,31,"'Pool billard club', 'Sports club'",1
ChIJawwXLFgXQjERNC_9BBX77AE,"Billiards Club 6789",4.8,9,"'Pool hall'",1
ChIJxxOqKngZQjER2f1xUFlJUaU,"Fly Billiards Club",4.3,3,"'Pool hall'",2
ChIJPSLSaqEXQjERRbFufPH8qog,"AV8 Billiards",4.0,5,"'Pool hall'",3
ChIJr6I9g-wZQjEROg8mBFSftxc,"Billiards Club Serie A",3.4,7,"'Pool hall'",4
ChIJVWliFOkZQjERzBKelCzpMM0,"Câu Lạc Bộ Billiards 27",0.0,0,"'Pool hall'",5
ChIJiz7X0WwZQjER2QRmx7dwt04,"BIDA JOKER",3.7,6,"'RV park'",1
ChIJGR2oM7oZQjER3HuI3QUlp_0,"KONOHA PREMIUM",3.9,17,"'Recreation center'",1
ChIJbV9ekTgZQjERjwVQGiZ-EYo,"Bida Đà Nẵng - 535 BILLIARDS CENTER",4.6,26,"'Restaurant', 'Seafood restaurant'",1
ChIJcTRm9zcYQjER43-jjfmWzqA,"But Tung Billiards Club",0.0,0,"'Sports activity location'",1
ChIJXdDUwzIYQjERxDBcA0prFDo,"Bamboo 2 Bar",4.2,1781,"'Sports bar', 'Bar', 'Bar & grill', 'Cocktail bar', 'Restaurant'",1
ChIJz9Z7pyQXQjERuk-8hNCSpBE,"Hybrid Sports Lounge: Watch | Play | Dine",4.8,747,"'Sports bar', 'Cafe', 'Lounge', 'Pool hall'",1
ChIJdwwwfFoXQjERW6mXtIdB8LU,"Shamrock Sports Bar",4.6,728,"'Sports bar', 'Dart bar', 'Irish pub', 'Pool billard club'",1
ChIJ-4xuamUXQjERXpe8IHaS6XI,Vertigo,4.3,359,"'Sports bar', 'Restaurant'",1
