place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJ2-ZTxodZwokRA9AjwWXP0qk,Kona Coffee Roasters,4.2,185,40.7429668,-73.9966854,"188 7th Ave, New York, NY 10011","['Coffee shop', 'Coffee roasters', 'Coffee wholesaler']"
ChIJLaKILPBZwokRmqMEPKt0R68,drip coffee makers,4.5,78,40.7232325,-74.0064671,"75 Varick St, New York, NY 10013",['Coffee shop']
ChIJC_LvoIhawokRFL5-CuLYkco,Gotham Coffee Roasters,4.4,264,40.739862,-73.992693,"23 W 19th St, New York, NY 10011","['Coffee shop', 'Cafe', 'Coffee roasters', 'Coffee store', 'Coffee wholesaler']"
ChIJ3XEat4RZwokRXM4XlDVAX2Y,Kona Coffee Roasters | East Village,4.4,336,40.7258692,-73.9898686,"57 2nd Ave, New York, NY 10003","['Coffee shop', 'Cafe', 'Coffee roasters', 'Coffee wholesaler']"
ChIJA9c33pxZwokRzubVjQK9pFM,Abraço,4.3,992,40.7273569,-73.9861578,"81 E 7th St, New York, NY 10003","['Cafe', 'Bar', 'Restaurant']"
ChIJTTCzMJZZwokRRFcmxSz_te8,ARVACI coffee,4.6,698,40.7546716,-73.9940186,"340 W 37th St, New York, NY 10018",['Coffee shop']
ChIJn2zHbLJbwokRHtSlCcMRjqM,787 Coffee,4.8,3530,40.7034852,-74.0108313,"66 Pearl St, New York, NY 10004",['Coffee shop']
ChIJ1UFNgYNZwokRcHhfzdnHmpc,The Lazy Llama Coffee Bar,4.6,379,40.7234943,-73.9886523,"72 E 1st St, New York, NY 10003","['Coffee shop', 'Cafe', 'Coffee store']"
ChIJ2T1EXgFZwokRVG8NDLKQi_8,Cafe Aroma,4.6,538,40.7633791,-73.9812246,"839 7th Ave, New York, NY 10019","['Coffee shop', 'Bakery']"
ChIJ3ziX-h9ZwokRgTE-XdwJuIQ,White Noise Coffee - Coffee Shop & Roastery,4.7,392,40.7701469,-73.9919315,"829 11th Ave, Manhattan, NY 10019","['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee roasters', 'Coffee store', 'Coffee wholesaler', 'Espresso bar', 'Internet cafe']"
ChIJGRtdgbZZwokR44Na7wh0Vb4,ROAST COFFEE,4.5,114,40.7485306,-73.9735684,"250 E 40th St, New York, NY 10016",['Coffee shop']
ChIJXeEtRpRZwokRiB3XgC8ccO0,Partners Coffee West Village,4.4,503,40.734916,-74.0023197,"44 Charles St, New York, NY 10014","['Coffee shop', 'Bar', 'Coffee roasters']"
ChIJawZBcp5ZwokRkhLRB0OEH6U,Sammy L Coffee,4.4,251,40.7316812,-73.9879701,"83 3rd Ave, New York, NY 10003",['Coffee shop']
ChIJ7S-RlSRZwokR9BqMvREZt20,Black Fox Coffee,4.5,361,40.7546645,-73.9772368,"45 E 45th St, New York, NY 10017","['Coffee shop', 'Cafe']"
ChIJ63ly5nlZwokR9tEeeucKRnA,Urbana Cafe and Gallery,4.6,377,40.7450198,-74.0058523,"144 10th Ave, New York, NY 10011",['Cafe']
ChIJ9Tfdk8dZwokRiz6jQxTHOnY,787 Coffee,4.9,2449,40.7244179,-74.0029292,"72 Thompson St, New York, NY 10012",['Coffee shop']
ChIJjdjCLlJZwokR-qJu3EjlDEg,Coffee Project New York | Chelsea,4.3,338,40.7418281,-73.9970894,"155 7th Ave, New York, NY 10011",['Cafe']
ChIJ49KnM6VZwokRArJkBByO0Dc,Variety Coffee Roasters,4.4,885,40.745199,-73.9945617,"261 7th Ave, New York, NY 10001",['Coffee shop']
ChIJu4_xxtBZwokRZf7uV1hSzt4,787 Coffee,4.9,3046,40.7298046,-73.987158,"159 2nd Ave, corner of, E 10th St, New York, NY 10003",['Coffee shop']
ChIJcQM_C4FZwokR0xEGxV7HeVM,Now or Never Coffee,4.6,392,40.7229055,-74.0045789,"30 Grand St, New York, NY 10013","['Coffee shop', 'Wine bar']"
ChIJwbNxnuJZwokRgV0wPzlX7eM,Moka & Co,4.6,717,40.7503639,-73.9898075,"142 W 34th St., New York, NY 10001",['Coffee shop']
ChIJK2WWzN5ZwokR1cM9703tZB0,Royal Coffee,5.0,183,40.7855075,-73.9792021,"2263 Broadway, New York, NY 10024","['Coffee shop', 'Bagel shop', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Health food restaurant', 'Juice shop', 'Sandwich shop', 'Vegetarian restaurant']"
ChIJZ77sUzxbwokR_tqJzDm3zDs,Koré Coffee,4.8,505,40.7161808,-73.9970865,"26A Elizabeth St, New York, NY 10013",['Coffee shop']
ChIJpWWlMXpZwokRRkqlyORSG-A,Ground Central Coffee Company,4.5,306,40.7530091,-73.9898267,"498 7th Ave, New York, NY 10018","['Coffee shop', 'Book store']"
ChIJD7LwAXpZwokR_qmGocyhRJQ,787 Coffee,4.9,2434,40.7274023,-73.9888408,"101 2nd Ave, New York, NY 10003","['Coffee shop', 'Cafe']"
ChIJU_tU6kpZwokR-pX4kn5VSBA,Lê Phin,4.7,408,40.7285073,-73.9834905,"259 E 10th St, New York, NY 10009",['Coffee shop']
ChIJTVhsxFNYwokRXgPwYnY0vgI,Bird & Branch Coffee Roasters,4.6,864,40.7602998,-73.9907758,"359 W 45th St, New York, NY 10036","['Coffee shop', 'Cafe', 'Corporate gift supplier', 'Dessert shop']"
ChIJw1j_MK1ZwokRJ_9Wz_NoAaQ,Aleef Cafe,4.8,532,40.7561758,-73.9925797,"333 W 39th St, New York, NY 10018",['Coffee shop']
ChIJuZyP_hdawokRpnBP2rMI9Pk,Voyager Espresso,4.9,473,40.7088418,-74.0070094,"110 William St Lower Level, New York, NY 10038",['Coffee shop']
ChIJgUdlRHBZwokRbItfBfdQIiI,Frisson Espresso 44,4.8,401,40.7601086,-73.9920706,"405 W 44th St, New York, NY 10036",['Coffee shop']
ChIJPdvZ77xYwokRCdSJZL-hWm8,Variety Coffee Roasters,4.4,576,40.7788574,-73.9558565,"1269 Lexington Ave, New York, NY 10028","['Coffee shop', 'Cafe']"
ChIJyfJXNphZwokRbo-oe0DjVT4,"Drip Drop Café, coffee shop",4.7,736,40.7254115,-74.002083,"98 Thompson St, New York, NY 10012","['Coffee shop', 'Art gallery', 'Cafe', 'Coffee store', 'Internet cafe']"
ChIJs88PkWVZwokR2jF02LIXkw0,787 Coffee,4.9,2906,40.7399113,-74.003287,"310 W 14th St, New York, NY 10014",['Coffee shop']
ChIJj9E4GWxZwokR3JjtB6sR9GQ,Bluestone Lane Upper East Side Café,4.3,1629,40.783823,-73.9585253,"1085 5th Ave, New York, NY 10128","['Coffee shop', 'Bar', 'Cafe']"
ChIJUfk89QNZwokRjzQ5y6vjx8I,Gumption Coffee,4.5,264,40.7569259,-73.983446,"106 W 45th St, New York, NY 10036",['Coffee shop']
ChIJ4cQHM7RZwokRsUKr_eVuSNw,ARVACI coffee,4.7,343,40.7453177,-73.9795286,"152 E 33rd St, New York, NY 10016",['Coffee shop']
ChIJ748f5D9ZwokRNXAVDq2Zzr0,Haraz Coffee House,4.6,590,40.7253393,-74.0037776,"210 Spring St, New York, NY 10012",['Coffee shop']
ChIJkRrVE11ZwokR49wrhCtS89A,787 Coffee,4.9,2744,40.7742889,-73.9556323,"228 E 80th St, New York, NY 10075",['Coffee shop']
ChIJK0YMWmdZwokRwRsOreYzArU,787 Coffee,4.9,2343,40.7589167,-73.962008,"401 E 58th St, New York, NY 10022",['Coffee shop']
ChIJvcnXGhdZwokR0JfITpUXiKM,787 Coffee,4.9,3512,40.7422456,-73.9831245,"100 Lexington Ave, New York, NY 10016",['Coffee shop']
ChIJ63KtJppZwokRHF7yd-syVNA,Solid State Coffee,4.7,652,40.7767227,-73.9797297,"104 W 71st St, New York, NY 10023","['Coffee shop', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Coffee roasters', 'Lunch restaurant']"
ChIJB6qX54RZwokR6mrd0V1iOuw,Current Coffee,4.9,151,40.7423442,-73.9794905,"217 E 29th St Front, New York, NY 10016",['Coffee shop']
ChIJMS8L3f9ZwokRJ279Y_a9wFw,Blank Street,4.6,380,40.7398304,-73.984981,"127 E 23rd St, New York, NY 10010","['Coffee shop', 'Cafe', 'Pastry shop']"
ChIJcaZiKLVZwokRmPzP29O2DNU,In Common NYC - A Breakfast & Brunch Restaurant,4.5,1948,40.753835,-73.996243,"441 9th Ave Suite 101, New York, NY 10001","['Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Espresso bar']"
ChIJv6INkhtZwokR5Ol7iuc6TJc,Urban Backyard,4.8,692,40.7208064,-73.9966015,"180 Mulberry St, New York, NY 10012",['Coffee shop']
ChIJJd-4_1NYwokRtEqmmFU9Z5o,Frisson Espresso,4.7,1240,40.760837,-73.9889995,"10036 326 W 47th St, New York, NY 10036","['Coffee shop', 'Cafe', 'Coffee store', 'Espresso bar', 'Pastry shop']"
ChIJR-faCfhZwokRr2eLEWntd8w,Copper Mug Coffee,4.8,841,40.7465799,-73.9882242,"38 W 30th St, New York, NY 10001",['Coffee shop']
ChIJ1SIh98hZwokRuEuNic36pJg,Blank Street Coffee,4.7,321,40.7549549,-73.9737512,"500 Lexington Ave, New York, NY 10017",['Coffee shop']
ChIJR6rSfzdbwokRqxjfFh0tj4I,787 Coffee,4.9,3110,40.7165872,-74.0048064,"93 Worth St, New York, NY 10013",['Coffee shop']
ChIJw9SgYQBZwokRFt79PfEy8NY,% Arabica New York Midtown,4.5,233,40.7620732,-73.9773507,"37 W 54th St, New York, NY 10019",['Coffee shop']
ChIJvS7ch8JZwokRTk5uS1m7x_4,Blank Street,4.8,423,40.73782,-74.0047507,"19 8th Ave, New York, NY 10014",['Coffee shop']
ChIJm-xEoHxZwokRTStZFhfbrKA,Gold coffee,4.9,916,40.7451277,-73.9783508,"491 3rd Ave, New York, NY 10016",['Coffee shop']
ChIJT994RulZwokRdgqQX0zc3QY,La Cabra Bakery,4.7,1419,40.7294459,-73.9868353,"152 2nd Ave, New York, NY 10003","['Coffee shop', 'Bakery']"
ChIJRWo8v4RZwokRbggnxWmoWpA,787 Coffee,4.9,3776,40.7339544,-74.0039929,"204 W 10th St, New York, NY 10014",['Coffee shop']
ChIJhxCTWhJZwokRIAYkdUUdRz0,GRIND THE NYC COFFEE SHOP & BAGEL HOUSE,4.7,1753,40.7590839,-73.9918101,"602 9th Ave, New York, NY 10036","['Coffee shop', 'Bagel shop']"
ChIJ_dckWptZwokR_LkU9WxPNZ4,Coffee Project New York | East Village,4.6,803,40.7270884,-73.989382,"239 E 5th St, New York, NY 10003","['Coffee shop', 'Breakfast restaurant', 'Cafe']"
ChIJe5A9k8ZbwokRgdccyrMz6FM,Artbean Coffee Roasters,4.7,349,40.7147104,-73.9981425,"19 Doyers St, New York, NY 10013","['Coffee shop', 'Art gallery', 'Cafe']"
ChIJ41W9caFZwokRVJOfTKNepZI,787 Coffee Co.,4.8,4737,40.7493629,-73.9942691,"251 W 30th St, New York, NY 10001",['Coffee shop']
ChIJBRY0FTJZwokRO9yVHnHsu9k,787 Coffee,4.9,3263,40.7400325,-74.0015893,"256 W 15th St, New York, NY 10011",['Coffee shop']
ChIJT2h1HKZZwokR0kgzEtsa03k,Stumptown Coffee Roasters,4.5,1660,40.7457399,-73.9882272,"18 W 29th St, New York, NY 10001","['Coffee shop', 'Cafe', 'Coffee roasters', 'Coffee store', 'Tea market place', 'Tea store']"
ChIJoVAtgOxbwokRLSQFeYiJjOI,Suited NYC,4.6,669,40.7093261,-74.0078426,"45 John St, New York, NY 10038","['Coffee shop', 'Cafe']"
ChIJf2O7ky_Tw4kRlyj-Jpsxlm8,Afficionado Coffee Roasters,4.6,415,40.7676039,-73.9931737,"750 11th Ave, New York, NY 10019",['Coffee shop']
ChIJd1M9O0xbwokRi1mu1DC93xY,% Arabica,4.4,1493,40.7026045,-73.9941637,"20 Old Fulton St, Brooklyn, NY 11201","['Coffee shop', 'Cafe']"
ChIJ9Sto4ahZwokRXpWiQYiOOOo,Grace Street Coffee & Desserts,4.5,3388,40.747819,-73.9865153,"17 W 32nd St, New York, NY 10001","['Dessert restaurant', 'Bubble tea store', 'Cafe', 'Cake shop', 'Coffee shop', 'Dessert shop', 'Ice cream shop']"
